Dataset,LSA,k,Preprocess,Vectorizer,Part Speech,Stopwords,Model,F1 Score
ag_news,True,3.0,lemma,frequency,none,True,AdaBoost,0.49743250214504614
ag_news,True,3.0,lemma,frequency,noun,False,Decision Tree,0.4720509768832725
ag_news,True,3.0,lemma,frequency,noun,False,Random Forest,0.5454500758724344
ag_news,True,3.0,lemma,frequency,noun,False,Gradient Boosting,0.5338410410878542
ag_news,True,3.0,lemma,frequency,noun,False,AdaBoost,0.48694181808791936
ag_news,True,3.0,lemma,frequency,noun,True,Decision Tree,0.3639594632800641
ag_news,True,3.0,lemma,frequency,noun,True,Random Forest,0.3928836884762564
ag_news,True,3.0,lemma,frequency,noun,True,Gradient Boosting,0.3570872574243964
ag_news,True,3.0,lemma,frequency,noun,True,AdaBoost,0.32607221339541526
ag_news,True,3.0,lemma,tfidf,none,False,Decision Tree,0.6074952274418784
ag_news,True,3.0,lemma,tfidf,none,False,Random Forest,0.6958317857452364
ag_news,True,3.0,lemma,tfidf,none,False,Gradient Boosting,0.7111313726721367
ag_news,True,3.0,lemma,tfidf,none,False,AdaBoost,0.667135338731684
ag_news,True,3.0,lemma,tfidf,none,True,Decision Tree,0.512825941279803
ag_news,True,3.0,lemma,tfidf,none,True,Random Forest,0.6035373228469286
ag_news,True,3.0,lemma,tfidf,none,True,Gradient Boosting,0.6262861037031039
ag_news,True,3.0,lemma,tfidf,none,True,AdaBoost,0.593818729408096
ag_news,True,3.0,lemma,tfidf,noun,False,Decision Tree,0.5403896937677525
ag_news,True,3.0,lemma,tfidf,noun,False,Random Forest,0.6322275092866934
ag_news,True,3.0,lemma,tfidf,noun,False,Gradient Boosting,0.6441499854492337
ag_news,True,3.0,lemma,tfidf,noun,False,AdaBoost,0.6110008864234022
ag_news,True,3.0,lemma,tfidf,noun,True,Decision Tree,0.34695882121604565
ag_news,True,3.0,lemma,tfidf,noun,True,Random Forest,0.3743194853469606
ag_news,True,3.0,lemma,tfidf,noun,True,Gradient Boosting,0.3457140227384059
ag_news,True,3.0,lemma,tfidf,noun,True,AdaBoost,0.3037450743653676
ag_news,True,3.0,stem,frequency,none,False,Decision Tree,0.5834408803449811
ag_news,True,3.0,stem,frequency,none,False,Random Forest,0.6690963173646353
ag_news,True,3.0,stem,frequency,none,False,Gradient Boosting,0.6674608303529708
ag_news,True,3.0,stem,frequency,none,False,AdaBoost,0.6175547639619967
ag_news,True,3.0,stem,frequency,none,True,Decision Tree,0.4612864914123165
ag_news,True,3.0,stem,frequency,none,True,Random Forest,0.5409434343992774
ag_news,True,3.0,stem,frequency,none,True,Gradient Boosting,0.5348981400170073
ag_news,True,3.0,stem,frequency,none,True,AdaBoost,0.4987237241107025
ag_news,True,3.0,stem,frequency,noun,False,Decision Tree,0.46982739931593603
